,importance
num_policies_bin,21.585932809429266
num_policies,18.344785604982462
policy,9.393337096195737
vintage_x_num,4.622235388871748
income_x_num,3.7626753802840938
cl_x_area_x_num,2.986654016666668
claim_x_num,2.7518699199029264
marital_status,2.198109393271056
policy_tier_ord,2.153737181597553
claim_amount,2.1245930896197116
log_claim_x_num,2.1074484758904672
qualification,2.0149180764252113
claim_x_area,2.000725140924236
gender,1.8746318433944844
claim_per_pol,1.7186063199663122
log_claim,1.6113225006056218
inc_x_area_x_num,1.5889408481258818
income_x_claim,1.5195108920365066
income_x_area,1.5065812789371653
claim_vintage,1.37982025090273
vintage_sq,1.3101057534909688
marital_x_num,1.1792293853509852
income_ord,1.1378775875948657
income_x_vint,1.0824921697269996
claim_per_vint,1.046465696976219
vintage,1.0358802929996835
mar_x_area_x_num,0.9323029792692739
log_cl_per_vint,0.9312089132611574
area_x_num,0.8708022150243765
income_ord_sq,0.8217721991124882
area,0.7235012920831397
type_of_policy,0.5967708514447014
area_urban,0.5777959716527244
income,0.49844488143613647
has_claim,0.008914302546427982
